Date,Win,Los,WML,Mkt,Exc_WML,Exc_Mkt
2005-01-31,0.0801671057388634,0.027281053005937753,0.052886052732925654,0.02896633157332995,0.05064438601857527,0.02672466485897957
2005-02-28,0.02280181873474133,-0.0259658869921475,0.04876770572688883,-0.00794583993196507,0.046499372490512385,-0.010214173168341514
2005-03-31,0.01925205631338092,-0.05775201125401076,0.07700406756739168,-0.02338001001461687,0.07463990098973462,-0.025744176592273932
2005-04-30,0.08420176503457551,0.0653097915619412,0.018891973472634313,0.04385695186050431,0.01649030683139896,0.04145528521926896
2005-05-31,0.08068136302811137,0.06444334899230537,0.016238014035805992,0.032287046305219835,0.013688014083489708,0.02973704635290355
2005-06-30,0.08247397329945026,0.055871550962261124,0.02660242233718914,0.03301676177233337,0.023825755656217355,0.030240095091361587
2005-07-31,0.007315800886803986,-0.008988582412363087,0.016304383299167072,-0.0007367345752288257,0.013446049910202736,-0.003595067964193161
2005-08-31,0.050403453982820166,0.016460578523539604,0.03394287545928056,0.04416819833146568,0.031051208768772036,0.041276531640957154
2005-09-30,-0.06720678652861882,-0.0394384071266169,-0.02776837940200192,-0.02390714693167495,-0.030939212790966255,-0.027077980320639284
2005-10-31,0.05224098695452748,0.05283826730814259,-0.0005972803536151081,0.0316235227033681,-0.003811447114059749,0.02840935594292346
2005-11-30,0.07670312179949532,0.06389995245635996,0.012803169343135357,0.03526228842805268,0.009482336097222169,0.03194145518213949
2005-12-31,0.09204551591131042,0.027243005235040186,0.06480251067627024,0.0355127239588926,0.06116084410497101,0.03187105738759337
2006-01-31,0.05176738342092267,0.03891651580579092,0.012850867615131753,0.02130574431795007,0.009095034307229735,0.017549911010048054
2006-02-28,0.07955877864900866,0.030225311419572555,0.04933346722943611,0.02000731200714223,0.04557096734069811,0.016244812118404235
2006-03-31,0.06588501151357472,-0.009730783483365616,0.07561579499694034,0.006099774339283215,0.07174079491746747,0.0022247742598103548
2006-04-30,-0.06420869967916726,-0.035040344683353396,-0.029168354995813862,-0.05236574256852833,-0.033097521789637104,-0.05629490936235157
2006-05-31,-0.007601065708203622,0.012666808726983763,-0.020267874435187384,0.005645168391268163,-0.02431787454644939,0.001595168280006159
2006-06-30,-0.00630516998785504,0.0063983122995802,-0.01270348228743524,0.016777910626114778,-0.016815982239751524,0.012665410673798495
2006-07-31,0.0248322793137212,0.03211548712160234,-0.007283207807881137,0.02665317817953916,-0.01137070798272143,0.02256567800469887
2006-08-31,0.029048229723861896,0.044707558661401046,-0.01565932893753915,0.02001607704582775,-0.01962599579494068,0.016049410188426223
2006-09-30,0.052757354676618747,0.03499890610565816,0.017758448570960587,0.03488271070965632,0.013641781856610205,0.030766043995305935
2006-10-31,0.03779187702818825,0.031900717770873235,0.0058911592573150165,-0.004415004173775938,0.00181615936857702,-0.008490004062513934
2006-11-30,0.08860049369530605,0.04512076828057363,0.04347972541473242,0.03831943553671269,0.039408891890664224,0.03424860201264449
2006-12-31,0.06397546165980793,-0.004289046340160163,0.0682645079999681,0.020423783758492853,0.06411867474610762,0.01627795050463238
2007-01-31,-0.014222259694560408,-0.002790600112407261,-0.011431659582153147,-0.020632116377496623,-0.015594159486785716,-0.024794616282129193
2007-02-28,0.06067285382645743,0.05043347485970705,0.010239378966750382,0.02517601970287009,0.006160212315978287,0.021096853052097995
2007-03-31,0.05175853299087274,0.03315378093224021,0.01860475205863253,0.033963955463679696,0.01466725213810539,0.030026455543152555
2007-04-30,0.043365031636717385,0.018776492482797166,0.02458853915392022,0.025353417270017164,0.020763539026763644,0.02152841714286059
2007-05-31,-0.021490049625922433,0.0025944192666003036,-0.024084468892522738,-0.007637240645962828,-0.02797613562276769,-0.011528907376207783
2007-06-30,-0.002588487048534058,-0.031072687470228212,0.028484200421694153,-0.03464474975717169,0.024475867136044535,-0.03865308304282131
2007-07-31,-0.028718121894024007,-0.032700039692164916,0.003981917798140909,-0.010866431981541247,0.0006569177901936227,-0.014191431989488534
2007-08-31,0.008091070809388872,-0.029433555476024127,0.037524626285413,0.005107152464988163,0.034441292912343234,0.0020238190919183996
2007-09-30,0.04213517427882281,0.02037150435352838,0.02176366992529443,0.027973343920987936,0.0185803366475921,0.024790010643285607
2007-10-31,-0.07802873939718465,-0.07914421201904683,0.001115472621862179,-0.04652062833701309,-0.0014428606558401524,-0.04907896161471542
2007-11-30,-0.00476350403003496,-0.024779304149216766,0.020015800119181807,-0.015444353951184375,0.017399133365094993,-0.018061020705271186
2007-12-31,-0.11317349179108663,-0.08171292318551597,-0.03146056860557066,-0.1164984896879313,-0.03301890194287763,-0.11805682302523829
